ID;Judul;Description;Tags;
1;Bergaya dengan Jumputan Motif Cengkeh;Tidak seperti pada batik lainnya yang dibuat dengan menggunakan malam ataupun dicap, Batik Jumputan merupakan batik yang diberi corak tertentu dengan menggunakan alat sejenis pengikat dan biji-bijian. Motif dari Batik Jumputan memiliki variasi yang unik karena terpengaruh dari teknik pembuatannya. Salah satu motif Batik Jumputan yang umum ditemui adalah Motif Cengkeh yang dibuat dengan mengikat beberapa bagian pada kain. ;Batik Solo, Smart Casual , Wanita;
2;Cowo Mamba Berkain Batik Parang;"Batik Parang merupakan salah satu motif tertua di Indonesia yang banyak ditemukan di daerah Solo dan Yogyakarta. Nama “Parang” berasal dari kata “Pereng” yang artinya lereng. 

Batik parang lereng memiliki makna tidak mudah menyerah yang dapat dilihat dari motifnya yang menyerupai ombak laut yang tidak berhenti bergerak.";"Formal, Batik Solo, Batik Yogyakarta
", Pria;
3;Gaya Casual dengan Batik Kawung;"Batik Kawung mencerminkan makna dari kesucian, kemurnian, dan kesempurnaan. Motif pada Batik Kawung terinspirasi dari sebuah kumbang dengan nama latin Oryctes Rhinoceros atau dalam bahasa Jawa lebih dikenal dengan nama Kumbang Kwangwung. 

Batik Kawung terbagi atas beberapa pola, salah satunya disebut dengan Batik Kawung Semar yang terdiri dari pola utama berbentuk empat bulatan lonjong dengan ukuran besar yang menyerupai biji buah nangka dan dipadukan dengan pola bulatan lonjong berukuran lebih kecil pada bagian dalam.";Casual, Batik Yogyakarta, Wanita;
4;Berkain dengan Batik Tumpal;"Batik Tumpal mempunyai bentuk dasar segitiga sama kaki. Motif tumpal ini merupakan hasil inspirasi dari budaya India.

Makna filosofi motif tumpal oleh masyarakat pendukungnya digunakan sebagai penolak bala, karena gambar segitiga runcing yang dilambangkan sebagai gigi buaya.";Casual , Batik Yogyakarta, Batik Solo , Batik Pekalongan, Pria;
5;OOTD Cantik menggunakan Batik Lasem;"Batik Lasem merupakan salah satu jenis kain batik pesisiran yang merupakan hasil silang budaya dari batik lokal yang diilhami oleh ide batik keraton dan serapan unsur-unsur budaya asing. Motif dari Batik Lasem tentunya beragam dan salah satunya adalah motif Kricak (Watu Pecah) atau dalam bahasa Indonesia disebut dengan motif batu pecah.

Motif ini berasal dari sejarah pada masa Gubernur Jenderal Herman Willem Daendels abad ke-18, di mana pada saat itu masyarakat Lasem harus menjadi buruh yang tidak dibayar. Buruh tersebut diharuskan memecah batu menjadi Kricak sebagai bahan pengeras jalan.";Batik Solo, Smart Casual, Wanita;
6;Menampilkan Gaya Casual dengan Batik Madura;"Batik Madura memiliki ciri khas motif yang sederhana dan geometris, dengan warna-warna cerah. Awalnya dikenal dengan sebutan ""Batik Mogok"" karena motifnya hanya terdiri dari titik-titik kecil yang dibuat dengan menggunakan alat khusus yang disebut ""Canting Mogok"". 

Namun, seiring dengan waktu, motif batik Madura semakin berkembang dan kini telah mengusung berbagai macam motif yang lebih kompleks. Selain itu, Batik Madura juga terkenal dengan teknik pembuatan batiknya yang unik dengan cara menerapkan lilin panas pada kain.";Casual, Batik Madura, Pria;
7;Memadukan Kain Batik Kawung dengan Gaya Modern yang Trendy;"Batik Kawung mencerminkan makna dari kesucian, kemurnian, dan kesempurnaan. Motif pada Batik Kawung terinspirasi dari sebuah kumbang dengan nama latin Oryctes Rhinoceros atau dalam bahasa Jawa lebih dikenal dengan nama Kumbang Kwangwung. 

Batik Kawung terbagi atas beberapa pola, salah satunya disebut dengan Batik Kawung Semar yang terdiri dari pola utama berbentuk empat bulatan lonjong dengan ukuran besar yang menyerupai biji buah nangka dan dipadukan dengan pola bulatan lonjong berukuran lebih kecil pada bagian dalam.";Smart Casual, Batik Yogyakarta, Wanita;
8;"Memukau Acara Formal dengan Elegansi Kain Batik Parang
";"Batik Parang merupakan salah satu motif tertua di Indonesia yang banyak ditemukan di daerah Solo dan Yogyakarta. Nama “Parang” berasal dari kata “Pereng” yang artinya lereng. 

Batik parang lereng memiliki makna tidak mudah menyerah yang dapat dilihat dari motifnya yang menyerupai ombak laut yang tidak berhenti bergerak.";Formal, Batik Solo, Batik Yogyakarta, Pria;
9;"Gaya ke Kampus yang Kekinian dengan Kain Batik Parang
";"Batik Parang merupakan salah satu motif tertua di Indonesia yang banyak ditemukan di daerah Solo dan Yogyakarta. Nama “Parang” berasal dari kata “Pereng” yang artinya lereng. 

Batik parang lereng memiliki makna tidak mudah menyerah yang dapat dilihat dari motifnya yang menyerupai ombak laut yang tidak berhenti bergerak.";Smart Casual, Batik Solo, Batik Yogyakarta, Wanita;
10;Gabungan Elegan: Kemeja dan Kain Batik Parang;"Batik Parang merupakan salah satu motif tertua di Indonesia yang banyak ditemukan di daerah Solo dan Yogyakarta. Nama “Parang” berasal dari kata “Pereng” yang artinya lereng. 

Batik parang lereng memiliki makna tidak mudah menyerah yang dapat dilihat dari motifnya yang menyerupai ombak laut yang tidak berhenti bergerak.";Formal, Batik Solo, Batik Yogyakarta, Pria;
11;"Memadukan Kain Batik Parang dengan Gaya Masa Kini
";"Batik Parang merupakan salah satu motif tertua di Indonesia yang banyak ditemukan di daerah Solo dan Yogyakarta. Nama “Parang” berasal dari kata “Pereng” yang artinya lereng. 

Batik parang lereng memiliki makna tidak mudah menyerah yang dapat dilihat dari motifnya yang menyerupai ombak laut yang tidak berhenti bergerak.";Casual, Batik Solo, Batik Yogyakarta, Wanita;
12;Nongkrong Asik Menggunakan Kain Batik Parang;"Batik Parang merupakan salah satu motif tertua di Indonesia yang banyak ditemukan di daerah Solo dan Yogyakarta. Nama “Parang” berasal dari kata “Pereng” yang artinya lereng. 

Batik parang lereng memiliki makna tidak mudah menyerah yang dapat dilihat dari motifnya yang menyerupai ombak laut yang tidak berhenti bergerak.";Casual, Batik Solo, Batik Yogyakarta, Pria;
13;"Elegan dan Berkelas Menggunakan Batik Kawung
";"Batik Kawung mencerminkan makna dari kesucian, kemurnian, dan kesempurnaan. Motif pada Batik Kawung terinspirasi dari sebuah kumbang dengan nama latin Oryctes Rhinoceros atau dalam bahasa Jawa lebih dikenal dengan nama Kumbang Kwangwung. 

Batik Kawung terbagi atas beberapa pola, salah satunya disebut dengan Batik Kawung Semar yang terdiri dari pola utama berbentuk empat bulatan lonjong dengan ukuran besar yang menyerupai biji buah nangka dan dipadukan dengan pola bulatan lonjong berukuran lebih kecil pada bagian dalam.";Smart Casual, Batik Yogyakarta, Wanita;
14;Memadukan Gaya Masa Kini dengan Kain Batik Kawung;"Batik Kawung mencerminkan makna dari kesucian, kemurnian, dan kesempurnaan. Motif pada Batik Kawung terinspirasi dari sebuah kumbang dengan nama latin Oryctes Rhinoceros atau dalam bahasa Jawa lebih dikenal dengan nama Kumbang Kwangwung. 

Batik Kawung terbagi atas beberapa pola, salah satunya disebut dengan Batik Kawung Semar yang terdiri dari pola utama berbentuk empat bulatan lonjong dengan ukuran besar yang menyerupai biji buah nangka dan dipadukan dengan pola bulatan lonjong berukuran lebih kecil pada bagian dalam.";Casual, Batik Yogyakarta, Pria;
15;Kain Batik Kawung + Sneakers, Kenapa Tidak?;"Batik Kawung mencerminkan makna dari kesucian, kemurnian, dan kesempurnaan. Motif pada Batik Kawung terinspirasi dari sebuah kumbang dengan nama latin Oryctes Rhinoceros atau dalam bahasa Jawa lebih dikenal dengan nama Kumbang Kwangwung. 

Batik Kawung terbagi atas beberapa pola, salah satunya disebut dengan Batik Kawung Semar yang terdiri dari pola utama berbentuk empat bulatan lonjong dengan ukuran besar yang menyerupai biji buah nangka dan dipadukan dengan pola bulatan lonjong berukuran lebih kecil pada bagian dalam.";Casual, Batik Yogyakarta, Wanita;
16;Padu Padan Gaya Kekinian dengan Kain Batik Parang;"Batik Parang merupakan salah satu motif tertua di Indonesia yang banyak ditemukan di daerah Solo dan Yogyakarta. Nama “Parang” berasal dari kata “Pereng” yang artinya lereng. 

Batik parang lereng memiliki makna tidak mudah menyerah yang dapat dilihat dari motifnya yang menyerupai ombak laut yang tidak berhenti bergerak.";Casual, Batik Solo, Batik Yogyakarta, Pria;
17;OOTD Memukau dengan Kain Batik Parang;"Batik Parang merupakan salah satu motif tertua di Indonesia yang banyak ditemukan di daerah Solo dan Yogyakarta. Nama “Parang” berasal dari kata “Pereng” yang artinya lereng. 

Batik parang lereng memiliki makna tidak mudah menyerah yang dapat dilihat dari motifnya yang menyerupai ombak laut yang tidak berhenti bergerak.";Casual, Batik Solo, Batik Yogyakarta, Wanita;
18;Gaya Santai dengan Batik Tumpal untuk Hangout;"Batik Tumpal mempunyai bentuk dasar segitiga sama kaki. Motif tumpal ini merupakan hasil inspirasi dari budaya India.

Makna filosofi motif tumpal oleh masyarakat pendukungnya digunakan sebagai penolak bala, karena gambar segitiga runcing yang dilambangkan sebagai gigi buaya.";Casual, Batik Yogyakarta, Batik Solo, Batik Pekalongan, Pria;
19;Menjadi Cewe Kue dengan Batik Parang ;"Batik Parang merupakan salah satu motif tertua di Indonesia yang banyak ditemukan di daerah Solo dan Yogyakarta. Nama “Parang” berasal dari kata “Pereng” yang artinya lereng. 

Batik parang lereng memiliki makna tidak mudah menyerah yang dapat dilihat dari motifnya yang menyerupai ombak laut yang tidak berhenti bergerak.";Casual, Batik Solo, Batik Yogyakarta, Wanita;
20;Gaya Kekinian dengan Kain Batik Khas Yogyakarta;"Terdapat berbagai macam Kain Batik yang berasal dari Daerah Istimewa Yogyakarta, salah satunya adalah Kain Batik yang memiliki motif Sidomukti Garuda. 

Motif batik Sidomukti Garuda adalah gabungan antara unsur burung garuda dan unsur tumbuhan. Di mana, unsur tumbuhan terutama bunga memiliki makna mendalam yang melambangkan kecantikan dan sumber kehidupan. Sedangkan unsur garuda yang dalam bahasa Jawa disebut dengan “Lar” melambangkan kegagahan dan kewibawaan sehingga sering dipakai untuk motif-motif batik. ";Smart Casual , Batik Yogyakarta, Pria;
21;Berkain dengan Kain Batik asal Yogyakarta;"Terdapat berbagai macam Kain Batik yang berasal dari Daerah Istimewa Yogyakarta, salah satunya adalah Kain Batik yang memiliki motif Sidomukti Garuda. 

Motif batik Sidomukti Garuda adalah gabungan antara unsur burung garuda dan unsur tumbuhan. Di mana, unsur tumbuhan terutama bunga memiliki makna mendalam yang melambangkan kecantikan dan sumber kehidupan. Sedangkan unsur garuda yang dalam bahasa Jawa disebut dengan “Lar” melambangkan kegagahan dan kewibawaan sehingga sering dipakai untuk motif-motif batik. ";Casual, Batik Yogyakarta, Pria;
22;"Kombinasi Kekinian Kain Batik Sidomukti Garuda dan Kemeja
";"Terdapat berbagai macam Kain Batik yang berasal dari Daerah Istimewa Yogyakarta, salah satunya adalah Kain Batik yang memiliki motif Sidomukti Garuda. 

Motif batik Sidomukti Garuda adalah gabungan antara unsur burung garuda dan unsur tumbuhan. Di mana, unsur tumbuhan terutama bunga memiliki makna mendalam yang melambangkan kecantikan dan sumber kehidupan. Sedangkan unsur garuda yang dalam bahasa Jawa disebut dengan “Lar” melambangkan kegagahan dan kewibawaan sehingga sering dipakai untuk motif-motif batik. ";Smart Casual , Batik Yogyakarta, Pria;
23;Tampil Berani dengan Batik Parang dalam Busana Casual;"Batik Parang merupakan salah satu motif tertua di Indonesia yang banyak ditemukan di daerah Solo dan Yogyakarta. Nama “Parang” berasal dari kata “Pereng” yang artinya lereng. 

Batik parang lereng memiliki makna tidak mudah menyerah yang dapat dilihat dari motifnya yang menyerupai ombak laut yang tidak berhenti bergerak.";Casual, Batik Solo, Batik Yogyakarta, Wanita;
24;Tampil Berani dengan Batik Parang dalam Busana Casual;"Batik Parang merupakan salah satu motif tertua di Indonesia yang banyak ditemukan di daerah Solo dan Yogyakarta. Nama “Parang” berasal dari kata “Pereng” yang artinya lereng. 

Batik parang lereng memiliki makna tidak mudah menyerah yang dapat dilihat dari motifnya yang menyerupai ombak laut yang tidak berhenti bergerak.";Casual, Batik Solo, Batik Yogyakarta, Wanita;
25;Gaya Feminim dengan Sentuhan Kain Batik Tumpal;"Batik Tumpal mempunyai bentuk dasar segitiga sama kaki. Motif tumpal ini merupakan hasil inspirasi dari budaya India.

Makna filosofi motif tumpal oleh masyarakat pendukungnya digunakan sebagai penolak bala, karena gambar segitiga runcing yang dilambangkan sebagai gigi buaya.";Casual , Batik Yogyakarta, Batik Solo , Batik Pekalongan, Wanita;
26;"OOTD Cantik dengan Batik Parang
";"Batik Parang merupakan salah satu motif tertua di Indonesia yang banyak ditemukan di daerah Solo dan Yogyakarta. Nama “Parang” berasal dari kata “Pereng” yang artinya lereng. 

Batik parang lereng memiliki makna tidak mudah menyerah yang dapat dilihat dari motifnya yang menyerupai ombak laut yang tidak berhenti bergerak.";Casual, Batik Solo, Batik Yogyakarta, Wanita;